time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,0.000000,0.000000,0.000011
0.010000,0.000000,0.000000,0.000001,0.000011
0.015000,0.000000,0.000000,0.000002,0.000011
0.020000,0.000000,0.000000,0.000005,0.000013
0.025000,0.000000,0.000000,0.000008,0.000018
0.030000,0.000000,0.000000,0.000009,0.000023
0.035000,0.000000,0.000001,0.000005,0.000026
0.040000,0.000000,0.000001,-0.000005,0.000025
0.045000,0.000000,0.000001,-0.000023,0.000013
0.050000,-0.000000,0.000001,-0.000046,-0.000000
0.055000,-0.000000,0.000001,-0.000075,-0.000027
0.060000,-0.000001,0.000001,-0.000110,-0.000049
0.065000,-0.000002,0.000000,-0.000148,-0.000090
0.070000,-0.000002,-0.000000,-0.000189,-0.000123
0.075000,-0.000004,-0.000001,-0.000232,-0.000175
0.080000,-0.000005,-0.000002,-0.000276,-0.000211
0.085000,-0.000006,-0.000003,-0.000325,-0.000266
0.090000,-0.000008,-0.000004,-0.000379,-0.000306
0.095000,-0.000010,-0.000006,-0.000441,-0.000374
0.100000,-0.000013,-0.000008,-0.000511,-0.000427
0.105000,-0.000015,-0.000010,-0.000589,-0.000518
0.110000,-0.000019,-0.000013,-0.000673,-0.000584
0.115000,-0.000022,-0.000016,-0.000759,-0.000687
0.120000,-0.000026,-0.000019,-0.000844,-0.000757
0.125000,-0.000031,-0.000024,-0.000930,-0.000861
0.130000,-0.000036,-0.000027,-0.001019,-0.000932
0.135000,-0.000041,-0.000033,-0.001109,-0.001041
0.140000,-0.000047,-0.000037,-0.001196,-0.001114
0.145000,-0.000053,-0.000044,-0.001278,-0.001218
0.150000,-0.000060,-0.000049,-0.001352,-0.001282
0.155000,-0.000067,-0.000057,-0.001412,-0.001363
0.160000,-0.000074,-0.000063,-0.001461,-0.001407
0.165000,-0.000081,-0.000071,-0.001496,-0.001458
0.170000,-0.000089,-0.000077,-0.001518,-0.001481
0.175000,-0.000096,-0.000086,-0.001530,-0.001500
0.180000,-0.000104,-0.000092,-0.001537,-0.001506
0.185000,-0.000112,-0.000101,-0.001545,-0.001513
0.190000,-0.000120,-0.000107,-0.001556,-0.001522
0.195000,-0.000127,-0.000116,-0.001567,-0.001536
0.200000,-0.000135,-0.000122,-0.001576,-0.001545
0.205000,-0.000143,-0.000132,-0.001580,-0.001552
0.210000,-0.000151,-0.000138,-0.001579,-0.001553
0.215000,-0.000159,-0.000147,-0.001574,-0.001549
0.220000,-0.000167,-0.000153,-0.001567,-0.001544
0.225000,-0.000175,-0.000163,-0.001560,-0.001535
0.230000,-0.000182,-0.000169,-0.001556,-0.001530
0.235000,-0.000190,-0.000178,-0.001556,-0.001528
0.240000,-0.000198,-0.000184,-0.001562,-0.001531
0.245000,-0.000206,-0.000193,-0.001572,-0.001541
0.250000,-0.000214,-0.000199,-0.001585,-0.001552
0.255000,-0.000222,-0.000209,-0.001596,-0.001568
0.260000,-0.000230,-0.000215,-0.001597,-0.001573
0.265000,-0.000238,-0.000225,-0.001582,-0.001564
0.270000,-0.000245,-0.000231,-0.001549,-0.001543
0.275000,-0.000253,-0.000240,-0.001501,-0.001492
0.280000,-0.000260,-0.000246,-0.001439,-0.001446
0.285000,-0.000267,-0.000254,-0.001368,-0.001364
0.290000,-0.000274,-0.000260,-0.001294,-0.001304
0.295000,-0.000280,-0.000267,-0.001227,-0.001218
0.300000,-0.000286,-0.000272,-0.001174,-0.001171
0.305000,-0.000292,-0.000279,-0.001140,-0.001122
0.310000,-0.000298,-0.000284,-0.001122,-0.001103
0.314999,-0.000303,-0.000290,-0.001113,-0.001090
0.319999,-0.000309,-0.000295,-0.001111,-0.001087
0.324999,-0.000314,-0.000301,-0.001110,-0.001086
0.329999,-0.000320,-0.000305,-0.001105,-0.001085
0.334999,-0.000325,-0.000312,-0.001093,-0.001074
0.339999,-0.000331,-0.000316,-0.001071,-0.001060
0.344999,-0.000336,-0.000322,-0.001042,-0.001028
0.349999,-0.000341,-0.000327,-0.001009,-0.001002
0.354999,-0.000346,-0.000332,-0.000975,-0.000962
0.359999,-0.000351,-0.000336,-0.000942,-0.000935
0.364999,-0.000355,-0.000342,-0.000909,-0.000895
0.369999,-0.000360,-0.000345,-0.000882,-0.000871
0.374999,-0.000364,-0.000351,-0.000861,-0.000844
0.379999,-0.000368,-0.000354,-0.000841,-0.000829
0.384999,-0.000373,-0.000359,-0.000814,-0.000802
0.389999,-0.000377,-0.000362,-0.000773,-0.000774
0.394998,-0.000380,-0.000367,-0.000715,-0.000713
0.399998,-0.000384,-0.000369,-0.000643,-0.000659
0.404998,-0.000387,-0.000373,-0.000559,-0.000564
0.409998,-0.000389,-0.000375,-0.000466,-0.000492
0.414998,-0.000391,-0.000378,-0.000367,-0.000376
0.419998,-0.000393,-0.000379,-0.000264,-0.000294
0.424998,-0.000394,-0.000381,-0.000164,-0.000171
0.429998,-0.000394,-0.000382,-0.000069,-0.000093
0.434998,-0.000394,-0.000382,0.000016,0.000014
0.439998,-0.000394,-0.000382,0.000092,0.000078
0.444998,-0.000393,-0.000381,0.000158,0.000162
0.449998,-0.000392,-0.000380,0.000210,0.000208
0.454998,-0.000391,-0.000379,0.000247,0.000259
0.459998,-0.000390,-0.000378,0.000271,0.000282
0.464998,-0.000388,-0.000376,0.000286,0.000303
0.469997,-0.000387,-0.000375,0.000298,0.000313
0.474997,-0.000385,-0.000373,0.000309,0.000325
0.479997,-0.000384,-0.000372,0.000323,0.000335
0.484997,-0.000382,-0.000370,0.000341,0.000355
0.489997,-0.000380,-0.000368,0.000359,0.000370
0.494997,-0.000379,-0.000366,0.000373,0.000390
0.499997,-0.000377,-0.000365,0.000380,0.000398
0.504997,-0.000375,-0.000362,0.000379,0.000400
0.509997,-0.000373,-0.000361,0.000372,0.000395
0.514997,-0.000371,-0.000358,0.000364,0.000385
0.519997,-0.000369,-0.000357,0.000359,0.000379
0.524997,-0.000368,-0.000354,0.000363,0.000378
0.529997,-0.000366,-0.000353,0.000379,0.000385
0.534997,-0.000364,-0.000351,0.000409,0.000413
0.539997,-0.000362,-0.000349,0.000456,0.000444
0.544997,-0.000359,-0.000346,0.000522,0.000512
0.549996,-0.000356,-0.000344,0.000608,0.000574
0.554996,-0.000353,-0.000340,0.000714,0.000690
0.559996,-0.000349,-0.000337,0.000838,0.000783
0.564996,-0.000344,-0.000332,0.000977,0.000943
0.569996,-0.000339,-0.000329,0.001125,0.001059
0.574996,-0.000333,-0.000322,0.001274,0.001240
0.579996,-0.000326,-0.000317,0.001416,0.001357
0.584996,-0.000319,-0.000308,0.001538,0.001516
0.589996,-0.000311,-0.000302,0.001637,0.001604
0.594996,-0.000302,-0.000292,0.001707,0.001705
0.599996,-0.000294,-0.000285,0.001743,0.001747
0.604996,-0.000285,-0.000275,0.001744,0.001767
0.609996,-0.000276,-0.000268,0.001711,0.001752
0.614996,-0.000268,-0.000257,0.001645,0.001690
0.619996,-0.000260,-0.000251,0.001549,0.001623
0.624996,-0.000253,-0.000241,0.001428,0.001490
0.629995,-0.000246,-0.000235,0.001287,0.001383
0.634995,-0.000240,-0.000227,0.001134,0.001204
0.639995,-0.000235,-0.000223,0.000975,0.001078
0.644995,-0.000230,-0.000217,0.000818,0.000886
0.649995,-0.000227,-0.000213,0.000665,0.000762
0.654995,-0.000224,-0.000209,0.000522,0.000583
0.659995,-0.000221,-0.000207,0.000396,0.000475
0.664995,-0.000220,-0.000204,0.000289,0.000335
0.669995,-0.000219,-0.000203,0.000202,0.000258
0.674995,-0.000218,-0.000202,0.000133,0.000166
0.679995,-0.000217,-0.000201,0.000078,0.000117
0.684995,-0.000217,-0.000200,0.000032,0.000058
0.689995,-0.000217,-0.000200,-0.000008,0.000025
0.694995,-0.000217,-0.000200,-0.000046,-0.000021
0.699995,-0.000218,-0.000200,-0.000087,-0.000051
0.704994,-0.000218,-0.000201,-0.000136,-0.000105
0.709994,-0.000219,-0.000201,-0.000196,-0.000149
0.714994,-0.000220,-0.000202,-0.000262,-0.000226
0.719994,-0.000222,-0.000203,-0.000332,-0.000280
0.724994,-0.000224,-0.000205,-0.000406,-0.000368
0.729994,-0.000226,-0.000207,-0.000478,-0.000428
0.734994,-0.000228,-0.000209,-0.000542,-0.000512
0.739994,-0.000231,-0.000211,-0.000591,-0.000557
0.744994,-0.000234,-0.000215,-0.000627,-0.000607
0.749994,-0.000238,-0.000217,-0.000653,-0.000631
0.754994,-0.000241,-0.000221,-0.000674,-0.000658
0.759994,-0.000244,-0.000224,-0.000692,-0.000673
0.764994,-0.000248,-0.000228,-0.000712,-0.000694
0.769994,-0.000251,-0.000231,-0.000736,-0.000711
0.774994,-0.000255,-0.000235,-0.000766,-0.000744
0.779994,-0.000259,-0.000238,-0.000802,-0.000772
0.784993,-0.000263,-0.000243,-0.000841,-0.000818
0.789993,-0.000268,-0.000246,-0.000880,-0.000850
0.794993,-0.000272,-0.000251,-0.000916,-0.000896
0.799993,-0.000277,-0.000255,-0.000945,-0.000923
0.804993,-0.000282,-0.000260,-0.000963,-0.000952
0.809993,-0.000286,-0.000264,-0.000967,-0.000961
0.814993,-0.000291,-0.000270,-0.000958,-0.000958
0.819993,-0.000296,-0.000274,-0.000938,-0.000946
0.824993,-0.000301,-0.000279,-0.000908,-0.000916
0.829993,-0.000305,-0.000283,-0.000869,-0.000889
0.834993,-0.000309,-0.000288,-0.000822,-0.000836
0.839993,-0.000313,-0.000292,-0.000769,-0.000796
0.844993,-0.000317,-0.000296,-0.000712,-0.000731
0.849993,-0.000320,-0.000299,-0.000650,-0.000684
