time, Quad.Pos.Z, Quad.Est.Z, Quad.Vel.Z, Quad.Est.VZ
0.005000,-0.999918,-0.999977,0.027103,0.021989
0.010000,-0.999702,-0.999868,0.053934,0.043543
0.015000,-0.999352,-0.999543,0.080654,0.075567
0.020000,-0.998870,-0.999219,0.107115,0.096738
0.025000,-0.998256,-0.998576,0.133240,0.128281
0.030000,-0.997513,-0.998042,0.158821,0.148808
0.035000,-0.996642,-0.997088,0.184427,0.179455
0.040000,-0.995641,-0.996349,0.210805,0.200465
0.045000,-0.994508,-0.995083,0.236913,0.231885
0.050000,-0.993247,-0.994135,0.262747,0.252441
0.055000,-0.991854,-0.992558,0.288956,0.283946
0.060000,-0.990331,-0.991401,0.315258,0.304947
0.065000,-0.988675,-0.989508,0.341786,0.336834
0.070000,-0.986887,-0.988139,0.368120,0.357954
0.075000,-0.984970,-0.985929,0.393374,0.388708
0.080000,-0.982932,-0.984355,0.416840,0.407838
0.085000,-0.980783,-0.981854,0.438081,0.433872
0.090000,-0.978532,-0.980102,0.458106,0.449963
0.095000,-0.976186,-0.977356,0.476666,0.472774
0.100000,-0.973751,-0.975450,0.493519,0.486641
0.105000,-0.971238,-0.972493,0.508378,0.504886
0.110000,-0.968656,-0.970462,0.521580,0.515760
0.115000,-0.966011,-0.967337,0.533633,0.530408
0.120000,-0.963310,-0.965207,0.544608,0.539453
0.125000,-0.960558,-0.961945,0.553987,0.551187
0.130000,-0.957765,-0.959734,0.561321,0.557458
0.135000,-0.954940,-0.956373,0.567163,0.564875
0.140000,-0.952090,-0.954110,0.571729,0.568815
0.145000,-0.949221,-0.950688,0.575219,0.573116
0.150000,-0.946337,-0.948393,0.577617,0.575180
0.155000,-0.943443,-0.944937,0.579533,0.577572
0.160000,-0.940542,-0.942625,0.580389,0.578540
0.165000,-0.937641,-0.939154,0.580123,0.578412
0.170000,-0.934743,-0.936841,0.579057,0.577766
0.175000,-0.931853,-0.933378,0.577193,0.575654
0.180000,-0.928975,-0.931077,0.574366,0.573588
0.185000,-0.926115,-0.927644,0.570422,0.569031
0.190000,-0.923276,-0.925371,0.566115,0.565541
0.195000,-0.920457,-0.921988,0.562021,0.560722
0.200000,-0.917663,-0.919749,0.556660,0.556663
0.205000,-0.914898,-0.916423,0.550336,0.549311
0.210000,-0.912167,-0.914231,0.543519,0.543800
0.215000,-0.909469,-0.910984,0.536759,0.535751
0.220000,-0.906807,-0.908847,0.529373,0.530017
0.225000,-0.904184,-0.905686,0.521406,0.520537
0.230000,-0.901603,-0.903610,0.512813,0.513866
0.235000,-0.899066,-0.900548,0.503598,0.503015
0.240000,-0.896578,-0.898544,0.493659,0.495090
0.245000,-0.894139,-0.895598,0.483902,0.483263
0.250000,-0.891749,-0.893672,0.474139,0.475565
0.255000,-0.889408,-0.890843,0.464409,0.463820
0.260000,-0.887114,-0.888995,0.454838,0.456095
0.265000,-0.884870,-0.886282,0.444867,0.444253
0.270000,-0.882676,-0.884513,0.434588,0.436195
0.275000,-0.880535,-0.881921,0.424015,0.423551
0.280000,-0.878447,-0.880235,0.413268,0.414870
0.285000,-0.876413,-0.877772,0.402514,0.402054
0.290000,-0.874433,-0.876172,0.391363,0.393152
0.295000,-0.872509,-0.873840,0.380460,0.379887
0.300000,-0.870639,-0.872330,0.369780,0.371210
0.305000,-0.868822,-0.870127,0.359295,0.358662
0.310000,-0.867057,-0.868701,0.348882,0.350289
0.314999,-0.865342,-0.866623,0.338969,0.338446
0.319999,-0.863677,-0.865277,0.328986,0.330495
0.324999,-0.862064,-0.863319,0.318406,0.317897
0.329999,-0.860504,-0.862056,0.307587,0.309444
0.334999,-0.858999,-0.860226,0.296542,0.296145
0.339999,-0.857549,-0.859050,0.285744,0.287409
0.344999,-0.856152,-0.857351,0.275270,0.274789
0.349999,-0.854806,-0.856260,0.265179,0.266776
0.354999,-0.853509,-0.854683,0.255212,0.254800
0.359999,-0.852263,-0.853672,0.245269,0.246871
0.364999,-0.851068,-0.852215,0.235049,0.234707
0.369999,-0.849923,-0.851284,0.224819,0.226602
0.374999,-0.848830,-0.849950,0.214678,0.214213
0.379999,-0.847787,-0.849101,0.204588,0.206167
0.384999,-0.846793,-0.847888,0.194828,0.194438
0.389999,-0.845849,-0.847118,0.184929,0.186540
0.394998,-0.844954,-0.846022,0.175002,0.174677
0.399998,-0.844108,-0.845331,0.165316,0.166890
0.404998,-0.843309,-0.844353,0.156118,0.155717
0.409998,-0.842555,-0.843737,0.147396,0.148679
0.414998,-0.841844,-0.842866,0.138584,0.138190
0.419998,-0.841177,-0.842320,0.130015,0.131376
0.424998,-0.840553,-0.841552,0.121236,0.120857
0.429998,-0.839974,-0.841076,0.112260,0.113682
0.434998,-0.839441,-0.840416,0.102671,0.102274
0.439998,-0.838956,-0.840015,0.093419,0.094751
0.444998,-0.838516,-0.839468,0.084429,0.083969
0.449998,-0.838120,-0.839139,0.075512,0.076896
0.454998,-0.837770,-0.838699,0.066426,0.066030
0.459998,-0.837465,-0.838442,0.057384,0.058797
0.464998,-0.837205,-0.838111,0.048577,0.048103
0.469997,-0.836987,-0.837926,0.040156,0.041162
0.474997,-0.836810,-0.837698,0.032463,0.031753
0.479997,-0.836670,-0.837577,0.024938,0.025634
0.484997,-0.836567,-0.837440,0.017912,0.017163
0.489997,-0.836498,-0.837378,0.011013,0.011531
0.494997,-0.836462,-0.837324,0.004628,0.003797
0.499997,-0.836458,-0.837314,-0.001723,-0.001235
0.504997,-0.836486,-0.837337,-0.008370,-0.009222
0.509997,-0.836547,-0.837379,-0.014587,-0.014352
0.514997,-0.836637,-0.837479,-0.020229,-0.021180
0.519997,-0.836756,-0.837568,-0.026123,-0.025866
0.524997,-0.836903,-0.837737,-0.031514,-0.032475
0.529997,-0.837077,-0.837871,-0.037340,-0.036949
0.534997,-0.837282,-0.838108,-0.043207,-0.044082
0.539997,-0.837513,-0.838288,-0.048223,-0.048150
0.544997,-0.837769,-0.838588,-0.052836,-0.053759
0.549996,-0.838046,-0.838807,-0.057162,-0.057303
0.554996,-0.838345,-0.839161,-0.061433,-0.062364
0.559996,-0.838664,-0.839414,-0.065648,-0.065790
0.564996,-0.839005,-0.839819,-0.069958,-0.070950
0.569996,-0.839370,-0.840106,-0.074978,-0.074766
0.574996,-0.839760,-0.840567,-0.079950,-0.080855
0.579996,-0.840173,-0.840894,-0.084462,-0.084481
0.584996,-0.840607,-0.841411,-0.088372,-0.089280
0.589996,-0.841061,-0.841771,-0.092307,-0.092306
0.594996,-0.841535,-0.842336,-0.096581,-0.097471
0.599996,-0.842030,-0.842729,-0.100693,-0.100710
0.604996,-0.842547,-0.843344,-0.105035,-0.105936
0.609996,-0.843085,-0.843771,-0.109524,-0.109537
0.614996,-0.843645,-0.844438,-0.113610,-0.114545
0.619996,-0.844225,-0.844900,-0.117512,-0.117672
0.624996,-0.844823,-0.845615,-0.120962,-0.121980
0.629995,-0.845439,-0.846106,-0.124711,-0.124949
0.634995,-0.846074,-0.846865,-0.128360,-0.129504
0.639995,-0.846726,-0.847385,-0.131876,-0.132288
0.644995,-0.847394,-0.848187,-0.134873,-0.136052
0.649995,-0.848077,-0.848733,-0.137648,-0.138252
0.654995,-0.848773,-0.849570,-0.140318,-0.141522
0.659995,-0.849482,-0.850138,-0.142606,-0.143391
